,phrase,counts
5225,bedroom furnishings,9
1617,fantastic city,9
5219,smattv applications,9
433,grown children,9
3634,different countries,9
3653,travel experience,9
2777,year old daughter,9
816,long walks,9
3135,se asia,9
588,adult children,9
3832,seattle university,9
2605,good conversation,9
3887,misty rain,9
4566,travel stories,9
611,bay area,9
438,united states,9
5694,daughter team,8
5691,hiking spots,8
6464,sustainable future,8
6589,summer months,8
6634,vancouver bc,8
5692,best breweries,8
6552,family room,8
5693,great cup of coffee,8
4236,amazing place,8
5695,wonderful caf,8
6457,garden area,8
6463,attack life,8
6445,funky thrift store,8
1619,exceptional service,8
6437,loaner bicycles,8
6439,historical story,8
1615,helpful seattle resident,8
6440,private shows,8
6442,completed questionnaire,8
6443,complimentary cocktails,8
6444,vintage items,8
6446,plush amenities,8
6447,smart tv,8
6451,warm places,8
6454,av assistance,8
6455,true measure,8
6456,better tomorrow,8
6461,additional costs,8
1226,good time,8
6954,sweet life,8
5623,young professionals,8
5646,hot tub,8
1251,different cities,8
5628,resort fee,8
5629,children international,8
5630,resort locations,8
5631,resort amenities,8
5632,worldmark timeshare,8
5633,night minimum,8
5634,resident of orange county,8
5635,medical supplies,8
5636,school supplies,8
5637,kind of holiday,8
5638,rental fee,8
5639,kitchen items,8
5640,summer weekends,8
5641,complete kitchen,8
5642,hours of check-in,8
5667,marshal's wisdom,8
5665,open arms,8
5662,maximum occupancy,8
5661,decent person,8
6951,range of activities,8
6853,wonderful experiences,8
5654,free parking,8
5653,full-size appliances,8
5652,hour of coachella tickets,8
6949,molly moon,8
5651,bad experiences,8
6950,salty carmel ice cream,8
5650,palms springs,8
6434,independent internet access points,8
3197,awesome city of seattle,8
6392,seattle's hospitality driven cannabis b,8
6393,sounds of seattle,8
8037,seward park,8
6394,coffee seattle style,8
6395,seattle international airport,8
6396,concierge services,8
6397,drunken chef,8
6398,quiet neighborhood of west seattle,8
6400,house concierge,8
6401,beverage services,8
6402,gluten free,8
5167,long term resident of seattle,8
6403,free shuttles,8
6404,guest use,8
6405,art of culinary,8
6406,amazing way,8
6407,care of people,8
6408,amazing adventure,8
2020,young children,8
6409,chelsi angel's staff,8
5166,short term vacation,8
6391,cannabis food truck,8
6390,cannabis chef jeremy cooper,8
6389,cannabis industry,8
6388,cannabis friendly,8
4598,diverse neighborhood,8
6302,interesting stories,8
7940,fun couple,8
7941,open minded couple,8
7942,sex educator,8
7943,friendly dog,8
6321,joe ross,8
6322,joint project,8
6323,laura's family,8
6324,owned houses,8
7978,bike tourer,8
7979,diverse southend of seattle,8
6325,joe's work,8
7980,community organizer,8
7981,avid gardener,8
6384,world of cannabis,8
7982,beautiful urban homestead,8
6385,education of cannabis,8
6386,cannabis sampling,8
6387,aroma of cannabis,8
6410,world wind tour,8
1737,sense of community,8
3098,interesting places,8
3110,new york city,8
6428,cocktail hours,8
6431,onsite office,8
6432,laundry service,8
1762,new food,8
3185,local knowledge,8
5168,view buildings,8
5893,local markets,8
5870,las vegas,8
5869,los angles,8
5815,young age,8
7295,bikram yoga instructor,8
7294,raw food,8
7293,growing wheatgrass,8
6425,serta supreme memory foam pillow,8
7445,good cook,8
5169,downtown luxury apartments,8
6411,gourmet breakfast,8
5170,corporate rental company,8
5171,deluxe amenities,8
5172,owner of seatown suites,8
5173,love affair,8
5174,generous  host,8
6412,culinary mastery,8
5175,excellent communicator,8
6413,simple luxury,8
6414,great ohhhhhh,8
5176,vrbo homes,8
5177,experience memorable,8
6415,beds matter,8
6416,artistic things,8
6417,educational cooking events,8
6418,eclectic piece of living,8
5206,places clean,8
5207,best explored walking,8
6419,creative staff members,8
6420,michelin star restaurants,8
7454,grand canyon,8
6424,tourism itineraries,8
7004,great coffee,8
5643,nutritious food,8
8864,young seattle couple,8
8861,easy going people people,8
8862,vacation condo,8
8863,guests' privacy,8
920,farmers market,8
8942,love coffee,8
545,board games,8
8963,great host,8
9012,bike trip,8
8943,college sports,8
500,grad school,8
800,project manager,8
8945,sounders fc soccer,8
328,lake union,8
8946,mariners baseball,8
413,fine dining,8
8944,water skiing,8
320,year old son,8
4910,white water,7
2507,recent graduate,7
4883,hosting style,7
4565,wonderful guests,7
1014,healthy lifestyle,7
5282,beautiful park,7
5281,desired neighborhoods,7
5280,enjoyable stay possible,7
881,private chef,7
5279,quick trip,7
5277,different areas,7
4913,animal lover,7
5276,endless possibilities,7
5273,company emerald city suites,7
5272,great state of washington,7
5271,great spots,7
1092,mountain climbing,7
5179,water activities,7
2026,public transportation,7
2248,puget sound area,7
110,native of seattle,7
2173,better location,7
2103,avid cyclist,7
2106,new cultures,7
1409,great people,7
1442,north america,7
4357,wine tasting,7
4948,best friend,7
578,international travel,7
265,best way,7
4986,home improvement,7
264,best food,7
5278,phinney ridge,7
4737,surrounding area,7
1707,year old,7
1071,good care,7
1187,warm home,7
36,southern california,7
1182,new folks,7
342,middle east,7
2914,copious notes,7
2909,airbnb rental home,7
2911,countless vacation homes,7
2916,fancy hotel,7
2913,best traits,7
5158,year old female,6
8147,hosting folks,6
6933,social services,6
8954,wonderful little girl,6
6937,lifelong seattle resident,6
6938,s cottage,6
8195,columbia city,6
1658,puget sound region,6
3483,private bed,6
960,graduate school,6
3327,dance studies,6
8307,beaten path,6
5852,favorite shows,6
1019,avid reader,6
8404,vise verse,6
8403,little sense of humor,6
8956,non-profit theater production,6
757,great hospitality,6
8401,political belief,6
1747,beautiful home,6
1779,great pacific northwest,6
6533,home studio,6
8214,finest places,6
5813,great family time,6
5833,star experience,6
6956,travel - africa,6
8955,airbnb rooms,6
5817,world basketball tournaments,6
5818,teaching background,6
6961,wide variety,6
5884,new york times,6
6957,travel adventures,6
5879,social justice,6
1002,central america,6
6958,kind of outdoor activity,6
6959,transplanted new yorker,6
5812,us government,6
5837,local restaurants,6
5367,cozy atmosphere,6
5364,iberian peninsula,6
6960,terms of arts,6
8215,amazing places,6
8217,kallaloch beach,6
1662,cultural events,6
8218,stunning view,6
3492,outgoing person,6
5360,traveler spirit tugging,6
5358,minute train tickets,6
5357,couple spare rooms,6
6610,outdoor recreation,6
5811,latest technology,6
7276,older lady,6
7604,major tourist sights,6
7646,international traveler,6
7645,near parks,6
7644,simple spaces,6
7643,fabulous dining,6
2906,good things,6
8796,chinese language lecturer,6
2741,farmers markets,6
2755,style of traveling,6
7609,comparison shopping,6
7607,best results,6
7606,english literature,6
7647,neighboring areas,6
8788,different flavors of espresso coffee,6
6262,love startup life,6
6261,startup weekend,6
6260,startup world,6
8787,histories of different asian countries,6
2998,book stores,6
8789,voice-control personal assistant apps,6
8793,favorite traveled destinations,6
7605,refund policy,6
5990,new restaurant,6
7578,property taxes,6
7577,booking request,6
7576,well-behaved guests,6
7575,tent downtown,6
7574,bathroom house,6
7572,room price,6
7571,room rates,6
7570,airbnb travel credit,6
7569,airbnb horror stories,6
7568,airbnb rental nightmares,6
4724,bike riding,6
7559,great time,6
2830,favorite thing,6
7580,cheap room rentals,6
7582,hotel quality accommodations,6
7583,hotel quality prices,6
7593,self-employed property manager,6
7599,criminal background checks,6
7598,refreshing break,6
8797,medical school,6
7596,market supply,6
7594,north beacon hill,6
7592,internet article,6
7584,low-maintenance guest,6
7591,listings available,6
7590,details of offer,6
7589,booking confirmation,6
7588,solitary life,6
7587,insurance rates,6
7586,cost of utilities,6
7585,sales taxes,6
282,video games,6
6265,current favorite travel destination,6
7266,amateur photographer,6
7267,kind of enthusiasm,6
7268,total news junkie,6
7269,communications consultant,6
7270,tour guide,6
5410,great north west,6
7958,pontoon boat,6
7956,great work,6
7955,junior roller derby,6
7954,united kingdom,6
7953,married pair of travel enthusiasts,6
7265,time homeowner,6
7264,personal time,6
6018,avid cook,6
5996,video editor,6
5991,art institute of seattle,6
5992,food places,6
5994,instagram account,6
6362,dream home,6
5998,production house,6
5999,work field,6
8017,school counselor,6
7253,sporting events,6
7279,lovely daughter,6
7951,media system,6
7950,impromptu karaoke,6
6328,peace corps volunteer,6
6318,clothing designer,6
6301,favorite food,6
3104,future travels,6
2493,good beer,6
6271,beach volleyball player,6
6270,nonprofit board member,6
6269,amazing guy,6
6267,big search giant,6
6266,joshua tree,6
7949,dance games,6
3225,capital hill,6
7947,film crew,6
7946,film festival,6
3179,paddle boarding,6
4971,wine industry,6
6351,airbnb rentals,6
464,active family,6
7324,bike rides,6
3181,seattle washington,6
8406,man kind,6
9176,lovely foliage,6
4072,ice cream,6
6682,vip people,6
1263,love seattle,6
6676,great respect,6
6695,miguel angel velasquez,6
6677,great hostess,6
5496,tasty food,6
6701,bad divorces,6
6681,different occasions,6
6683,peruvian food,6
6678,time day,6
67,home body,6
6789,esl teacher,6
1288,emp museum,6
6807,master's degree,6
6679,free of charge,6
6696,beautiful murals,6
6684,mayors of different cities,6
3827,amazing people,6
6673,presidents of peru,6
5702,couple of years,6
6691,directors of hospital,6
9175,peaceful water,6
6674,counsel of peru,6
9177,burke-gillman trail,6
8932,teaching languages,6
6687,dry cleaner services,6
6708,flor cruz,6
6706,sack lunches,6
6705,presidential inaugurations,6
6675,star house,6
6704,i'am hispanic woman,6
6692,la casa,6
6685,laundry needs,6
4077,time mom,6
4133,city life,6
5510,convention center,6
5512,popular attractions,6
5514,single private rooms,6
4028,local culture,6
5515,stay easy,6
5516,sports stadiums,6
1274,respectful person,6
5518,painting studio,6
5538,sharing economy,6
6680,peruvian military,6
8931,ravenna neighborhood,6
8930,design houses,6
5511,contemporary art gallery,6
5509,art building,6
5508,center of downtown,6
8557,children ages,6
6697,good therapist,6
1952,avid hikers,5
4087,favorite vacations,5
5202,whichever language,5
5201,washington dc,5
3929,welcoming travelers,5
5199,nice shops,5
5198,interior decoration,5
5197,day local life,5
206,favorite destinations,5
4359,fixing home,5
1286,good old usa,5
2522,seattle pacific university,5
1292,topsy turvy world of geo-politics,5
1094,good books,5
1294,host country,5
1907,road trip,5
3925,baking muffins,5
3926,amazing victorian home,5
1284,small business development,5
2987,fun loving,5
2510,elementary school,5
1291,university students,5
5208,welcoming people,5
804,latin america,5
3928,liberal politics,5
1407,happy family,5
465,rooftop deck,5
266,good interior design,5
4960,great things,5
115,music industry,5
117,things seattle,5
1399,fun activities,5
946,gorgeous seattle,5
3275,vashon island,5
919,favorite movies,5
1385,young family,5
2215,young son,5
3241,amazing neighborhood,5
2315,local people,5
4996,rental properties,5
2076,people's homes,5
765,national parks,5
1102,great northwest,5
2000,comfortable place,5
3931,couple of married women,5
1433,regular basis,5
3923,vintage-clothing studio,5
1435,business professional,5
5182,variety of assets,5
5183,year tenure,5
4911,meeting new travelers,5
3916,seattle experts,5
2011,beautiful city of seattle,5
3917,lots of different kinds of beer,5
4411,good health,5
3918,warm couch,5
448,school year,5
4196,international travelers,5
1598,professional couple,5
365,long time,5
2722,clean person,5
4747,recommended restaurants,5
4742,knowledge of seattle,5
1688,main house,5
3968,small businesses,5
4681,quicker responses,5
1143,hospitality industry,5
1614,year old house,5
4163,sense of humor,5
32,husband daniel,5
29,good design,5
4721,concept of airbnb,5
1558,surrounding areas,5
1605,year renovation,5
171,good music,5
1036,music venues,5
1646,san juans,5
73,year old professional,5
4784,san juan islands,5
1648,great care,5
12,big world,5
1540,seattle resident,5
1784,home improvement projects,5
11,left coast,5
6087,wide variety of arts,4
6088,kinds of ethnic cuisines,4
4938,love music,4
2411,seattle adventures,4
6714,rose marie,4
6334,disabilities act,4
6331,realtime captioner,4
7346,favorite hobbies,4
6332,longer life,4
5627,bay area native,4
8798,life colorful,4
8837,south indian cuisine,4
5626,furnished apartment homes,4
6084,fresh air activities,4
3909,creative director,4
7871,community college instructor,4
6338,closed captioning,4
8801,good architecture,4
6715,retired couple,4
6340,computer screen,4
7872,year old dog,4
7877,wife melia,4
1206,lovely city,4
6716,pura vida,4
7874,mortgage industry,4
7332,hobby sculpting,4
49,life experiences,4
7331,single female,4
7330,wine technology,4
8807,suggestions of residents,4
8836,stubborn artist,4
8627,goal achiever,4
8799,wonderful life,4
5622,local trails,4
7328,wine events,4
8800,lot of fun people,4
7870,long vacations,4
7329,wine tour,4
6718,clean condition,4
7333,superstar jazz musician,4
9073,organic fruits,4
3902,majesty of,4
6352,local living of west seattle,4
9072,british columbia,4
8804,new destinations,4
2281,art walks,4
8842,earth's atmosphere,4
6037,young couple,4
8532,washington native,4
5535,star environments,4
6744,north cascades,4
5536,dexter experience,4
3894,open spaces,4
5537,star pricing,4
358,beautiful neighborhood,4
5539,gene dex pr,4
7545,good luck,4
5540,independent business person,4
3895,mountain ranges,4
5541,beverage foh flack,4
5542,palm springs,4
3897,rooftop patio,4
5534,real estate social media consultant,4
8843,three-dimensional space,4
6361,past travels,4
7983,dance class,4
2862,different people,4
6364,stay-at-home mama,4
5528,spaces available,4
5529,buddhist temple,4
9071,country ski,4
5530,seattle's historic chinatown,4
5531,onsite manager,4
5532,real estate sales,4
8805,new travel buddy,4
1373,san francisco native,4
1372,old wooden boat,4
1371,beautiful design,4
5533,gene dexter,4
5545,pro health practices,4
5546,emergency needs,4
7296,mosquito bites,4
3899,night sky,4
7298,hearing stories,4
7300,athletic events,4
6357,colorful people,4
8806,minimal schedule,4
8802,good parks,4
3958,local helper,4
9074,whitewater kayak,4
6356,nearby cafes,4
6355,little beach oasis,4
6354,future beach escape,4
6353,minute of hosting,4
2327,personal space,4
7546,art projects,4
7286,month trans-continental adventure,4
5548,web profiles,4
5549,personal brand,4
7282,seattle school,4
7283,way home,4
7285,tiny motorcycle,4
7548,pup jax,4
8803,good shows,4
7549,boyfriend wim,4
7288,lasting connections,4
2827,foreign films,4
7290,teaching spanish,4
6358,favorite aspects,4
8841,bigger picture,4
7852,sense of home,4
7851,open book,4
7684,simple accommodations,4
7443,ground floor studio,4
7678,artistic life,4
7679,entertaining friends,4
7680,college age daughter,4
7681,creative ways,4
7741,support peace,4
7682,big dinners,4
7740,live life,4
7683,funny cats,4
7685,beautiful location,4
7441,private area,4
7444,north cascades national parks,4
8825,live comedy,4
7446,small urban farm,4
7447,vibrant urban village,4
7686,cascade mtns,4
7448,little local insight,4
7449,good quality night of sleep,4
874,long way,4
8824,educational ones,4
870,ballard neighborhood of seattle,4
7442,beautiful private studio,4
7452,comfortable surroundings,4
6155,guests space,4
7984,proactive change,4
7671,health care,4
5574,puerto rico,4
8827,airbnb's recommendation of things,4
2540,beautiful northwest,4
6215,beautiful puget sound,4
7763,time sailing,4
6214,quiet haven,4
7762,extended families,4
7759,reclaimed wood,4
7758,design consultancies,4
8826,funny ones,4
7756,furniture company,4
7755,grain furniture,4
7451,mt rainier,4
8823,spicy things,4
7718,long business trip,4
2618,physical therapist,4
2621,northwest adventures,4
6211,new ways,4
2623,excellent way,4
2624,area's natural beauties,4
7717,short time,4
7476,global citizen,4
100,basement apartment,4
9043,creative projects,4
9042,fan of board games,4
6209,new recipes,4
9041,good head,4
5571,scuba dive,4
7462,additional option,4
7453,bath available,4
7457,dozens of varieties,4
8556,grown son,4
7739,positive force,4
8822,sugary things,4
7455,avid tomato grower,4
6750,art background,4
7688,airbnb spaces,4
7456,great organic veggies,4
2658,home office,4
6212,good quality coffee,4
7689,waldorf teacher,4
1138,south florida,4
8821,favorite books,4
7460,special circumstances,4
6213,day of hard work,4
1277,comforts of home,4
3957,youngest daughter ella roque,4
3948,west palm beach,4
3947,cascadia poetry festival,4
5554,busy people,4
8833,strong common sense,4
8832,tropical fruits,4
7821,remote locations,4
9076,public library,4
9013,international friends,4
6119,hidden gems,4
6308,great book,4
5587,web developer,4
8831,myers-briggs type indicator,4
792,organic food,4
8830,open-minded type,4
3955,director of splab,4
5597,great cities,4
7845,outdoors - snowboarding,4
7844,farm style house,4
7843,true expert,4
8637,recent trip,4
455,year old girl,4
5570,host wonderful people,4
6711,minded household,4
7840,native city of seattle,4
7839,food preferences,4
7837,small place,4
7836,college professor,4
6327,hard of hearing,4
4736,delicious food,4
2509,fun places,4
8828,personality types,4
7648,girlfriend barbara,4
7649,nice residential area,4
6709,coaching soccer,4
9083,love meeting people,4
8554,idea of people,4
6710,organic natural food industry,4
4068,urban farm,4
6223,eleanor roosevelt,4
6222,kind of light,4
8555,little wheeled suitcase,4
6221,john steinbeck,4
6219,greyhound rae,4
6218,organized place,4
8809,solo trips,4
3946,paul lives,4
8547,simple living,4
5555,bottle of wine,4
7630,different walks of life,4
8829,mind-boggling places,4
8808,personal style,4
3945,subud member,4
5556,active guest,4
8576,tiny cabin,4
8551,school occupational therapist,4
3944,subud usa,4
5558,cafe society,4
3063,little boys,4
8549,progressive thinking professional,4
3943,subud greater seattle,4
5581,good meal,4
5524,happy couples,4
7985,blues fushion class,4
5883,dancing swing,4
5724,recommendations of tourist attractions,4
5885,fan of wine,4
5886,long conversation,4
5887,low-key traveler,4
5888,little details,4
5890,marketing data,4
6834,tangerine dream,4
5881,ceramic pourover,4
7073,fluent tagalog,4
7074,pleasure trip,4
7075,years of working,4
6833,creative self expression,4
6832,respect privacy,4
8735,flexible work schedule,4
1852,business owner,4
8477,original parquet floors,4
8478,old seattle hotel,4
3537,beautiful apartment,4
6836,heart sing,4
6842,healthy planet,4
1785,wonderful places,4
6840,evolving work,4
8281,travel bug,4
1796,city of seattle,4
6837,goodness sake,4
5725,little dog,4
6835,beloved chessie,4
6528,upper level,4
5729,couple of laid-back,4
8722,seattle expert,4
6514,admiral district,4
5728,peace corps sweethearts,4
1006,nursing school,4
5877,social sciences,4
5727,bike routes,4
5726,seattle-area community colleges,4
5878,passionate host,4
6831,creative endeavors,4
3510,property management company,4
8226,great thoughts,4
8225,simple design,4
8224,simple lines,4
8482,mount baker,4
8223,built eco-green home,4
8222,home treat,4
8483,international exchange student,4
8486,tandem cycling,4
5713,love of seattle,4
4371,smart phone,4
1469,cleaning business,4
8212,columbia city neighborhood,4
8210,everett mountain rescue,4
554,town home,4
3464,great fit,4
3462,rich experience,4
8182,mt baker,4
8181,se seattle,4
8180,busy self-employed property manager,4
8229,well-traveled people,4
8479,original philippine mahogany woodwork,4
3857,quiet street,4
5894,track neighborhoods,4
9133,life organized,4
207,favorite movie,4
9130,favorite subject,4
9129,highest degree,4
9128,wealth of responsibilities,4
9127,year university,4
9126,moderately large house,4
9125,seattle central,4
9124,years of living,4
5525,big billie holiday fan,4
9122,computer engineering,4
8480,plaster walls,4
6830,color orange,4
8481,mission style home,4
6829,sweet orange,4
8233,support guests,4
8232,new perspectives,4
8231,close attention,4
8291,development projects,4
8424,northwest adventure days,4
6932,pike place market community,4
6934,sales representative,4
6935,best restaurants,4
6936,girlfriend alicia,4
8687,mutual respect,4
8686,great relationships,4
5800,new means of cultural exploration,4
6614,fluent german,4
5801,performing arts,4
5426,amazing community,4
8425,fantastic view,4
6930,tours of seattle,4
8426,german dinner,4
8427,morning walks,4
6612,various rental properties,4
6611,glorious mountains,4
8708,dinner parities,4
8431,new house,4
8433,sky deck,4
6931,pike place market foundation,4
8292,favorite town,4
5412,square inch,4
5411,new orleans native,4
8691,multimedia artist,4
8690,superb location,4
8693,place clean,4
8689,relaxing atmosphere,4
5408,unit building,4
173,good friends,4
5402,lot of fun,4
5401,hosting airbnb,4
8688,ideals of eco-consciousness,4
1609,linkedin search,4
1610,ultimate frisbee,4
1611,professional profile,4
1612,cam caldwell,4
1613,way of atlanta,4
5803,constant passion,4
8709,normal business hours,4
6990,health care consultant,4
5839,viet nam,4
5840,recent trips,4
5851,new black,4
5804,web profiles verifications,4
5857,terrific people,4
5858,comfortable hotel alternative right,4
5859,nutritional therapist,4
5860,number of local,4
5861,national corporate clients,4
5862,years property management experience,4
5863,generation seattle native,4
5864,residential properties,4
5865,flexible term,4
597,residential real estate,4
5805,potential hosts,4
8710,local architect,4
8711,good chance,4
8712,softball team,4
5807,beautiful souls,4
5808,surfing couches,4
8435,rainier gondola,4
8685,great amenities,4
5345,small town,4
8436,city hikes,4
8437,occasional run,4
6657,beautiful view,4
6869,cooking classes,4
5820,visitors of seattle,4
8713,architecture school,4
8714,sense of hospitality,4
5824,local neighborhoods,4
9123,computer science club,4
9115,real seattle neighborhood,4
5522,nonprofit jobs,4
8018,best experience,4
8019,house wife,4
8020,high tech company,4
2200,guide books,4
2097,complete privacy,4
7238,ny metropolitan area,4
3886,new construction,4
8021,good accommodation,4
5520,larger city,4
5519,adorable pets,4
8025,writing artist,4
8026,fresh fruits,4
3890,waters of puget sound,4
8027,fresh foods,4
8028,strong believers,4
8029,cultural life,4
8016,markos love,4
3885,energy efficient,4
5696,fun outdoor activities,4
3883,clear day,4
8009,family roots,4
7172,kind of host,4
8043,kubota garden,4
3884,extended visit,4
6004,old college,4
6003,hospitality business,4
6002,legged buddy cola,4
5413,single person,4
5497,beautiful sceneries,4
5949,asian food,4
8030,pooch mocha,4
8050,basenji ancestry,4
7234,culture shock,4
7235,foreign guests,4
2174,fantastic restaurants,4
8053,eco conscious,4
8051,guitar lessons,4
7236,multi-cultural musician,4
8049,seatac airport,4
7233,avid arts fan,4
8048,one-on-one tutoring,4
8038,lush se,4
8040,stage technician,4
8041,dutch-style snacking,4
8036,homemade jams,4
8848,carpe carpere,4
8031,life story,4
7225,happy years,4
5976,night life,4
8032,good strong organic coffee,4
7226,early years,4
2185,family loves,4
2184,full-time job,4
8885,pioneer square,4
8033,jasmine green tea,4
7232,magnificent pacific northwest,4
7227,non-practicing mental health counselor,4
7228,court interpreter,4
1406,proud parents,4
7229,language access advocate,4
2179,easy access,4
7230,busy conference,4
7231,forward-looking seattle,4
5986,better way,4
8866,hosting friends,4
