,phrase,counts
8007,tacoma areas,4
5159,awesome things,4
2001,heart of seattle,4
7243,us people,4
3444,minute walk,4
7242,home country,4
7241,prestigious local university,4
7240,nature loving,4
8144,best parts,4
8874,plaza suites,4
7147,friendly accommodations,4
7148,hosting guest,4
8501,new england,4
4399,dear friend,4
8001,favorites foods,4
5904,life styles,4
5700,international destinations,4
8172,perfect place,4
1981,new yorker,4
7987,movement of inspiration,4
4395,grand kids,4
7988,clothing company,4
8881,individual unit listings,4
8880,site manger,4
8878,beautiful parks,4
8877,long-time seattleite,4
8876,north end of seattle,4
7989,beautiful accommodations,4
1993,tiny houses,4
8875,great neighborhoods,4
4400,uncharted direction,4
8003,beloved grandmother's macaroni,4
8002,louisiana creole gumbo,4
8871,human companion,4
8872,partner v,4
4405,issued patents,4
4404,recent death,4
7162,asked questions,4
8870,sweet little pup harvey,4
4403,eating sugars,4
8006,professional caterer,4
8867,recent seattle transplant,4
5928,beautiful spaces,4
6005,true seattle lite,4
8005,southern hospitality,4
8004,lemon sour cream poundcake,4
4401,jeromegipson youtube chanel,4
4406,lot of allergies,4
3249,airbnb homes,3
778,nice place,3
4009,cool people,3
3758,new spots,3
468,wonderful local food,3
4175,great location,3
3251,major cities,3
4165,home base,3
3778,long time seattle residents,3
2899,role of host,3
2898,low-key guest,3
4042,private space,3
2897,teaching position,3
4131,great conversation,3
2881,tennis racket,3
4158,hectic schedule,3
3242,quiet park,3
2882,various ways of life,3
2885,book group,3
4188,electrical engineering,3
2878,great joy,3
4182,tech company,3
2890,sorts of sports,3
2891,san francisco bay area,3
2869,day job,3
2892,cross-country skiing,3
4162,longtime seattle resident,3
3772,native seattlite,3
2894,types of cuisine,3
4161,unique vacation rental apartments,3
2901,high quality,3
2903,furnished vacation rental homes,3
454,year old boy,3
457,avid gardeners,3
4615,great opportunity,3
3025,adorable cats,3
4623,different places,3
3418,small business,3
581,outdoor activities seattle,3
582,girlfriend angela,3
4336,music lover,3
4537,love life,3
3155,great stay,3
3548,active  licensed real estate broker,3
3003,seattle's capitol hill,3
3000,urban neighborhoods,3
3549,bellevue-seattle area,3
3550,time agent,3
527,cup of coffee,3
513,yr old female,3
579,commercial fishing industry,3
4546,hot springs,3
332,cross country skiing,3
3097,kind people,3
3072,new adventures,3
541,mix of fantasy,3
542,ballroom dancing,3
548,art museums,3
3116,digital marketing,3
729,american couple,3
576,days i,3
3043,range of interests,3
3041,ball life,3
3040,version of home improvement,3
3039,occasional road trip,3
3037,kind of odd,3
3036,west coast boy,3
3035,minor remodeling,3
3034,different sorts of lives,3
4364,private practice,3
3651,lot of travel,3
4515,healing arts,3
3201,lovely wife,3
3616,south of france,3
2923,big trip,3
3627,way places,3
4677,great area,3
3637,northwest native,3
4678,town half,3
4679,friend's place,3
4680,cost of living,3
4210,huge foodie,3
3690,american life,3
4107,wife michelle,3
2905,lake chelan areas,3
2904,hotel alternative accommodations,3
3299,good fit,3
466,sustainable building,3
4471,urban oasis,3
4305,great shape,3
2976,king countie's health clinic processes,3
3363,summer time,3
4528,local art,3
3358,oldest daughter,3
2952,bike ride,3
4464,salsa dancing,3
2942,pleasant stay,3
474,welcome guests,3
3601,travel guide,3
3328,arts events,3
3326,phd candidate,3
2856,favorite spot,3
862,heart of ballard,3
910,great visit,3
907,core power hot yoga,3
906,adventure runs,3
905,snow capped mountains,3
1650,college son,3
1643,new stories,3
1642,old age,3
1640,long-time seattle residents,3
904,burke gilman trail,3
903,ship canal trail,3
4988,eclectic tastes,3
4977,adventurous family,3
1630,year-old daughter,3
1625,seattle waldorf school,3
1623,intuitive consultations,3
902,beautiful areas,3
901,amelia's master suite,3
909,loyola marymount university,3
911,fresh ocean air,3
1622,energy work,3
912,custom binder,3
927,local breweries,3
1713,program manager,3
1702,beautiful children,3
1670,separate entrance,3
1668,pacific northwest native,3
1653,fun adventures,3
2285,spacious home,3
916,true seattleites,3
915,area insights,3
913,nearby islands,3
900,private master bedrooms,3
2449,seattle restaurant scene,3
274,little boy,3
4896,cable tv,3
885,hard working,3
1072,good peops,3
884,home mom,3
1098,daily lives,3
2523,relaxed people,3
4856,day trips,3
272,sunny places,3
1621,different place,3
894,live upstairs,3
168,drink wine,3
899,shared homes,3
898,greenlake pool,3
1046,short drive,3
2381,web designer,3
2382,baby boy,3
2387,spending quality time,3
1586,experience new adventures,3
897,floating homes,3
896,private homes,3
1581,tai chi,3
1574,pound dog,3
2231,buenos aires,3
1426,hosts laura,3
1855,best stories,3
5194,guest book,3
5240,sky rentals,3
5241,local staff,3
5193,rainy days,3
5192,hometown knowledge,3
5191,best craft cocktails,3
1958,hands dirty,3
5242,professional property management company,3
1945,little ones,3
1858,bill cinton,3
5244,lodging accommodations,3
1932,civil engineering,3
1862,south american elite,3
1865,creative services business,3
5239,owner sea,3
5238,highest level of customer service,3
5236,freelance photographer,3
1873,mil apartment,3
1904,building community,3
1860,van halen,3
1924,school psychologist,3
5243,vacation rental properties,3
5245,emergency staffing,3
2187,extra bedroom,3
2061,experience new things,3
5103,movie theaters,3
5100,vacation time,3
5097,exchange student,3
953,open people,3
2105,new languages,3
2115,exchange students,3
2116,beach volleyball,3
1734,comfortable space,3
5053,good cup of coffee,3
2069,new friendships,3
5116,open mind,3
1020,yoga practitioner,3
2042,fav activities,3
2051,yoga teacher,3
5286,avid runner,3
1427,inter-racial couple,3
1423,little korean,3
867,notch hotels,3
865,best properties,3
848,beautiful nature,3
1324,sail trainer,3
1193,greater seattle area,3
1323,schooner adventuress,3
1322,tall ship,3
1321,birth family,3
1320,wonderful family,3
1319,marine survey,3
1318,marine environment,3
866,best elements,3
868,hosted spaces,3
871,safe stay,3
299,minute bus ride,3
1341,brief encounter,3
2723,active person,3
2720,kinds of music,3
39,industrial designer,3
2710,extended stays,3
4828,backyard chickens,3
1337,north west,3
1330,beautiful surroundings,3
1329,special daughter donna,3
1317,celebrates100 years,3
1316,mariner scouting,3
2608,great pets,3
4801,porto rico,3
1252,walks of life,3
2670,local hospital,3
4800,northwestern university,3
4799,graduated engineer,3
4798,awesome price,3
4796,great accommodation,3
1244,public school teacher,3
95,cup of tea,3
1422,broad world outlook,3
1235,golden retriever,3
4787,new relationships,3
2671,local music,3
42,oil painting,3
2609,easy-going guy,3
2610,gregarious sort of fellow,3
2611,various destinations,3
1315,great grandmother,3
1312,girl scouting,3
2622,green lake place,3
1310,great nieces,3
1278,city atmosphere,3
1275,sweet home,3
1342,bilges of boats,3
854,couple years,3
3,small landscape business,3
2812,discovery channel,3
835,new hosts,3
4718,spicy food,3
2542,rental property,3
1362,west coast,3
33,host people,3
30,vintage finds,3
28,little boy oliver,3
1412,good way,3
2848,university district,3
326,varied interests,3
1175,busy family,3
2844,project management,3
4711,friendly people,3
17,pacific north west,3
1421,conscious world travelers,3
1357,favorite book,3
6547,friends shanna,2
6548,family of architects,2
6580,nearby pubs,2
6579,national geographic channels',2
5850,born n,2
6549,open kitchen design,2
9202,backcountry skiing,2
6550,large open kitchen,2
9192,local outings,2
6551,great usable space,2
6476,decent tarot reader,2
6578,town centre,2
6746,mount pilchuck,2
5849,big fan of pilates,2
5848,raised seattleite,2
6747,local animal shelter,2
6477,main floor,2
6712,young girls,2
6546,nickel bros house moves,2
6554,architect's gem,2
6540,vacation cottage,2
6582,nice mexican meal,2
6541,west seattle home,2
6542,seattle skyline,2
6482,innovative places,2
5855,good wife,2
6475,longtime journalist,2
6543,seattle nightlife downtown,2
5838,new job,2
6544,great pub,2
6545,great appreciation,2
9193,beer enthusiast,2
9190,independent elementary school,2
6566,monster moves,2
6568,forward-thinking way,2
6478,quiet professional,2
5846,nice views,2
6569,architecture firm,2
5844,nearby outdoor adventures - hiking camping wakeboarding snowboarding mountain biking,2
5843,love seattle's mix of city life,2
5841,meeting travelers,2
9189,bustle of daily life,2
6570,quiet places,2
6571,comfortable master bed,2
6574,apartment units,2
6572,full-sized craftsman-style homes,2
6573,westwood village,2
6565,scuba gear,2
6564,longest boardwalk,2
6559,main urban core,2
6748,boulder river,2
9188,general hustle,2
5847,restaurants seattle,2
6558,work urban condominiums,2
9191,burke-gilman bike trail,2
6481,love of art,2
6560,alaska junction,2
6713,family nurse practitioner,2
8958,local beers,2
6561,morgan junction,2
9195,past decade,2
6479,upper floors,2
6562,diverse individual urban neighborhoods,2
6563,green homes,2
9196,helicopter rescue team,2
6726,favorite new-agey store,2
6513,wedding ceremony,2
6496,licensed massage therapist,2
6727,favorite breakfast spot,2
5876,wary feet,2
6495,great art project,2
6515,craftsman cottage,2
5875,good tips,2
6519,rental space,2
6520,private parking space,2
6736,lively night-life,2
6521,rental unit upstairs,2
6522,hard working art glass business owner,2
6523,bulldog haven nw,2
6524,quiet friendly bulldog,2
6738,independent films,2
6525,fine artist,2
6497,artistic expression,2
6734,scenic drive,2
6733,east-west book store,2
6732,nice day hike,2
6505,busy bee hives,2
6506,family system,2
6731,yoga mat,2
6507,ps profile pic,2
6510,bountiful lush garden,2
6500,higher education,2
6730,best theater,2
6729,jai thai,2
6498,quick bird's eye view,2
6728,moderate hiking,2
6725,favorite yoga studio,2
6724,favorite music venue,2
9137,garden designer,2
9138,john works,2
9200,alpine climbing,2
9198,company remote medical international,2
9201,taught courses,2
9197,medical school student,2
6534,rental apartment,2
6536,sweet baby nico,2
6537,verdant surroundings,2
6743,pretty quick response time,2
5866,killer apartment,2
6538,pleasant neighborhood walks,2
6539,little things,2
6486,airbnb yurt,2
6487,glamping yurt airbnb,2
6488,different traditions,2
6492,meeting new peoples,2
6739,sunlight cafe,2
6723,favorite challenging hike,2
5834,drinking craft beer,2
6527,detached shop,2
5874,grad couple,2
6529,ally access,2
5872,nice room,2
6740,huge fan of innovative design,2
6721,favorite hiking area,2
5873,new flavors,2
6532,bustling city,2
6489,sunshine valentine,2
6722,favorite thai place,2
6584,harbor avenue,2
8950,love art,2
5759,cleaning service,2
6660,wide mix of influences,2
5758,active night life,2
6661,west yorkshire england,2
9173,flood response,2
6663,san jose,2
5757,premium tourists coupons,2
6664,eclectic style,2
6665,seattle house,2
6667,good veggies,2
6668,nearby community college,2
6669,teaching english,2
6670,raised beds,2
6671,interesting guests,2
5756,free coffee,2
6672,adult life,2
5686,new parts,2
5755,downtown attractions,2
5760,parking pass,2
6656,west seattle real estate agent,2
6655,olympic mountains,2
9163,phillippa gregory,2
6642,year old single male,2
6643,software project management,2
9162,avid fiction reader,2
6645,unique location,2
6646,comfortable home,2
6647,food truck,2
6648,small upcycling company,2
6654,eastern united states,2
6649,architectural designer,2
9165,coriander cauliflower,2
6650,great dining,2
9166,underground tour,2
6652,seattle market,2
9168,aj banner,2
6653,sight of puget sound,2
5753,school administrator passionate,2
5708,extra special touch,2
5717,anita desai,2
9171,updated details,2
5688,fitness teacher,2
5712,tech biz,2
5711,pacific northwestern,2
5689,middle school health,2
5709,way of service,2
5707,clear communication,2
5719,guests expectations,2
5706,spontaneous travel,2
5704,fun cities,2
5703,kids - work,2
5701,seattle female dentist,2
5699,national corporate housing,2
5698,furnished suites,2
5697,great pleasure,2
5718,augustine of hippo,2
5687,young architect,2
5750,great thing,2
5738,increasing costs of living,2
5747,bunch of games,2
5746,videogame industry,2
5744,fresh perspective,2
5743,lollipop chainsaw,2
5741,video game artist,2
5740,favorite writers,2
5739,pike market,2
5720,illusive status,2
5736,huge comic book fan,2
5734,mortal kombat,2
5733,leah's new,2
5732,arkham city,2
5731,late twenties,2
5730,new conversation,2
5723,australian professional working,2
5722,memorable accomodation,2
5721,airbnb's highest standards,2
6638,big brother,2
6636,small dog,2
9160,roasted cumin,2
9180,fabulous food,2
9179,great wine,2
6601,elliott bay,2
6602,light traffic,2
6605,unique benefits,2
6606,bi-coastal existence,2
5825,small places,2
5669,lovely little parisian-style wine bar,2
5823,theatre project,2
5822,film production company,2
5671,seattle central community college,2
5821,company member,2
9141,portage bay retreat,2
9142,uw arboretum,2
5672,current passions,2
5673,lot of theater,2
6615,home decorating,2
6598,home's charm,2
5826,cafe nordo,2
6586,biking path,2
5832,hotel executive,2
5831,authentic visit,2
6587,garden tv's shows,2
5830,homes of locals,2
9187,professional designer,2
9186,home-staging business,2
5827,associate artist,2
9182,pacific north-westerners,2
9181,cascade mountains,2
6590,private nooks,2
6591,touches architectural details,2
6592,fantastic growth,2
6593,short blocks,2
6594,salty's restaurant,2
6595,public spaces,2
6596,snoqualmie pass,2
5828,favorite galleries,2
6616,tons of information,2
5675,antique shopping,2
9154,non-profit worker,2
9150,portage bay,2
6625,airbnb travel,2
6626,nearby destinations,2
6627,regular items,2
6628,favorite nearby spots,2
6629,leavenworth wa,2
9151,handful of routes available,2
6474,artists' residency,2
9153,vegetarian cook,2
9155,liberty cocktail bar,2
9148,normal tourist stuff,2
9156,bainbridge island,2
6630,timely manner,2
6631,forms of transportation,2
6632,quick weekend driving getaways,2
9174,chelsea cain,2
6633,cell phone,2
9158,good neighbor,2
6635,wine sipping,2
6622,life saver,2
5676,sipping tequilas,2
5683,movie wine,2
5677,working professional actor,2
5679,late bloomer,2
5681,separate living arrangements,2
5682,future business,2
6617,information binder,2
6618,fresh linens,2
6619,fun stories,2
6620,clean room,2
9143,favorite weekend pastime,2
5684,cooking night,2
5685,belltown areas,2
5797,great bourbon,2
9145,evening swimming,2
9146,host dinner parties,2
9152,path local's secrets,2
9068,husband dave,2
6473,simple food,2
6138,great relationship,2
6275,kirkland condo,2
9018,video production company,2
6276,current service work,2
6277,service work of rotary,2
6280,hanalei bay,2
6281,surf skis,2
6282,business life,2
6132,concert promoters,2
6283,co-owned seattle's elliott bay yachting center,2
6284,benaroya research institute of virginia mason medical center,2
6285,yacht sales,2
6287,man canoes,2
6288,ocean advocacy,2
6291,visiting cruisers,2
6131,blues broadcaster,2
6140,comedy channel,2
6293,alki house,2
6171,state of alaska,2
6170,built modern home,2
6169,amazing opportunities seattle,2
6168,down-to-earth people,2
6165,local area,2
9096,passionate pisces,2
6163,services manager,2
6162,fluffy grey cat,2
6161,washington coast,2
6159,home brewery,2
6158,delicious foods,2
6157,amazing natural beauty,2
6156,easy going couple,2
6152,cocktail napkins,2
6151,long day of work,2
6150,seattle's scenery,2
6147,fair share,2
6146,record player,2
6143,love jazz,2
6292,hawaii correspondent,2
6316,deer skin leather,2
6111,adorable dog,2
6317,aerial artist,2
6110,way times,2
6319,simonne garrigues,2
6320,bruce magnotti,2
6107,house of cards,2
9101,past winter,2
6106,values kindness,2
6104,occasional day,2
6103,personal trainer,2
6102,fishing boat captain,2
6101,great netflix series,2
6099,family treasures diversity,2
6098,teen boys,2
6097,vashon family,2
6096,swedish medical center,2
6094,internet marketing company,2
6093,geek girl,2
6112,dog salmon festival,2
6114,lincoln park,2
6295,illuminations event,2
6296,greatest friends,2
6130,blues music,2
6297,beautiful homes,2
6129,blues fans,2
6299,time dog lover,2
9017,husband riley,2
9099,cozy evenings,2
6303,bread pudding,2
6304,wonderful children,2
6305,beach dweller,2
9100,surroundings homey,2
6124,outdoorsy pursuits,2
6121,tiny fishing village,2
6307,wine dates,2
6118,movie freaks,2
6309,pediatric physical therapist,2
6310,west seattle neighborhood,2
6311,web design work,2
6116,weeks long road trips,2
6312,upstate ny,2
6472,creative writer,2
6238,lower unit,2
6237,original families,2
6236,dream job,2
6235,west seattle community,2
6233,beach glass,2
6232,professional woman,2
6231,meeting friends,2
6230,different projects,2
6227,cello player,2
9084,kids music,2
9052,interesting things,2
9051,inside job,2
9086,clean linens,2
9050,occasional glass of wine,2
9087,good communication,2
9049,comfort zone,2
9048,budding entrepreneur,2
9088,old motel,2
9047,favorite mottos,2
9045,lover of life,2
9044,seattle-based filmmaker,2
9040,preferred method,2
9082,structural engineer,2
6240,great love of travel,2
9066,primitive art,2
9065,unexpected joys,2
9064,current stage,2
9062,mini hotel suite,2
9060,cozy lower level,2
9059,seattle-loving urbanites,2
9058,australian transplant,2
9055,tiny elvis,2
9053,hospitality of strangers,2
6244,addis ababa,2
6243,hello travelers,2
6242,time convenient,2
9078,senior staff scientist,2
9079,environmental consulting firm,2
9080,nature enthusiasts,2
6241,lovely home town,2
9039,garden tour of japan,2
6208,warm weather,2
6252,abu dhabi,2
6195,chatty toddler,2
6194,amazing community space,2
6193,close access,2
9089,airbnb user,2
6191,insider's tips,2
6190,curated gogobot guide of things,2
6188,outdoor opportunities available,2
6186,scuba diver,2
6185,veteran burner,2
9090,thailand multiple times,2
6183,lot of offer,2
6182,amazing husband,2
6180,new jersey native,2
6178,yr old short hair pooch,2
9091,humble opinion,2
9092,zen den,2
9094,favorite musical,2
6254,charming neighborhoods,2
9095,favorite musician,2
6196,alki neighborhood,2
6207,green building,2
6197,fun loving family,2
9037,old homes,2
6206,environmental responsibility industry,2
6205,corporate social,2
9035,political consulting firm,2
9034,chief of staff,2
9033,media communications,2
6204,beach time,2
6203,marketing consultant,2
9032,latest basement remodel,2
9031,government relations,2
9030,self-described local history buff,2
9029,seattle city councilmember,2
9028,pacific northwest history,2
9027,campaign training,2
9026,electing women,2
9025,training women candidates,2
9024,home remodeling projects,2
6201,teacher librarian,2
9023,self-employed entrepreneurs,2
9022,array of personal interests,2
6199,charlie rae,2
9021,glorious pacific northwest,2
9020,seasoned travelers,2
6198,kid friendly home,2
6081,seahawks game,2
6080,family owned bath tub company,2
6079,great places seattle,2
5938,glare impacts,2
8992,love pets,2
8991,love research,2
8989,special needs,2
5937,private development projects,2
8988,entire adult life,2
5936,range of public infrastructure,2
8987,progressive values,2
8985,dance workshops,2
8984,blues dancing,2
5934,clude land use,2
8983,convenient location,2
5933,visual quality,2
5932,project management of environmental review,2
5931,preparation environmental codes,2
5930,eastern washington state,2
5929,environmental planner,2
5927,sign language interprerpreter,2
8982,piano teacher,2
8981,school psychology graduate student,2
5925,beautiful locations,2
8980,clean home,2
5924,beautiful downtown seattle,2
5939,consulting firms,2
5941,sampling small batch gin,2
5923,student microloan market,2
5942,distant places,2
9005,bachelor's degree,2
9004,spontaneous places,2
5959,seahawks fan,2
9002,sacred journeys,2
9000,ravnenna hideaway,2
5953,creative eye,2
8999,beautiful designs,2
8997,seattle neighborhood of ravenna,2
5952,hightech industry,2
8996,welcome interested guests,2
5951,playful banter,2
5950,dark beer,2
8995,serious stuff,2
5947,technology trends,2
8994,tour of slc,2
5946,art of motorcycle maintenance,2
5944,awesome cup of java,2
8993,outdoor enthusiasts,2
5943,remote regions of washington,2
8978,husband andrew,2
6078,happy stay,2
5900,town seattle hot spots,2
8977,local galleries,2
8976,vibrant theater scene,2
8975,various ways,2
8974,active retired couple,2
8973,ethnic restaurants,2
8972,wonderful neighbors,2
8971,small cabin,2
8970,good chocolate croissant,2
8969,good pizza,2
8968,backyard studio,2
8967,tech start-up companies,2
8966,various sporting events,2
9118,uw huskies game,2
8965,adventurous spots,2
8964,outgoing professional,2
9119,native east coasters,2
9120,startup life,2
9121,fun-loving couple,2
8960,rock music,2
6468,literary fiction,2
6469,literary volunteering,2
6471,recent years,2
5899,emergency medicine resident,2
9114,air force officer,2
5922,good options,2
9113,backpacking trip,2
5921,urban mobility,2
5920,bike polo,2
5919,little adventure,2
5918,local guy,2
5916,state parks,2
5914,endless entertainment,2
5913,terrific restaurants,2
5909,new material,2
5907,seattle apartment,2
9105,rural walking,2
5905,city's local restaurants,2
5903,snow skiing,2
5902,studio condo available,2
5901,year old woman,2
9106,good cooking,2
9107,cohousing community,2
9108,public health,2
9109,nearing retirement,2
9110,outside working,2
9111,beautiful area,2
9006,husband kyle,2
5960,gay male,2
6056,hosted airbnb-ers,2
6053,hearty dose of kindness,2
6052,natives of seattle,2
6051,host weddings,2
6050,asian inspired garden,2
6049,good adventure,2
6047,pioneer square area,2
6045,alpine lakes wilderness,2
6044,time gig,2
6043,cool things,2
6042,plenty oof weekends,2
6041,house clean,2
6040,college student,2
6039,big reason,2
6038,energetic couple,2
9102,studio guest house,2
9103,wonderful west seattle area,2
6031,law student,2
6030,past summer,2
6028,canadian living,2
6027,based travel,2
6055,carpe diem,2
6057,new faces,2
9008,lovely things,2
6058,thai cuisine,2
6077,good hands,2
6075,professional guitarist,2
6073,overnight trips,2
6072,cheap glass of wine,2
6071,historic pioneer square condo,2
6070,life adventures,2
6069,huge seattle sports fans,2
6068,girlfriend ana,2
6067,seattle mariners,2
6066,professional drummer,2
6342,good drink,2
6343,good listener,2
6344,company of good people,2
6345,fun loving people,2
6064,audio recording,2
6346,mt bike,2
6347,host parties,2
6348,alpine ski,2
6349,free spirit,2
6063,business endeavors,2
6350,long time west seattlites,2
6062,university of new orleans,2
6061,live music production,2
6025,northern hemisphere,2
6024,chest deep powder,2
6021,amazing cascades,2
5980,coming start-up,2
5979,respectful house guest,2
5978,good morals,2
6379,various parts,2
6380,meeting new,2
6381,times stressful,2
5975,healthy eating,2
6382,happy adventure,2
5974,small town guy,2
6383,variety of airbnb's,2
5973,half black lab,2
5972,clean freak,2
5971,half husky,2
5970,new technologies,2
5968,fun town,2
5967,busy pike street,2
5966,cole hoover,2
5965,inclusive leadership,2
5964,poverty alleviation,2
5963,pacific nw'er,2
5962,full-time home,2
5961,clean cut single bachelor,2
5982,enterprises large,2
5984,little mess,2
6372,best shopping,2
6020,beautiful british columbia,2
6019,close drive,2
6017,adopted hometown of seattle,2
6363,basement apartment flat,2
6016,swim instructor,2
6367,social bunch,2
6368,hidden tips,2
6015,freelance journalist,2
6369,lake chelan,2
6370,fun loving girl,2
6371,coolest neighborhood,2
6373,little help,2
5985,extra day,2
6375,community activist,2
6376,active kids,2
6377,longtime artist,2
6378,door offerings,2
6012,south capitol hill area of seattle,2
6011,tons of yoga,2
6010,great food scene,2
6009,great music,2
5987,dating profile,2
8624,frequent travelers,2
6751,chihuahua annabelle,2
8099,salt lake city,2
8109,sacramento area,2
8102,balsamic vinegar,2
8101,expensive green products,2
8100,typical northwestern person,2
8098,pine trees,2
8090,star trek,2
8097,busiest person,2
8096,northern ireland,2
8754,drinking wine,2
8095,roasted pork tenderloin,2
8755,great little house,2
8094,south lake tahoe,2
8093,time place,2
8092,pork breakfast,2
8756,lot of scuba diving,2
8757,marine biologist,2
8112,service jobs,2
8753,minneapolis mn,2
8130,past airbnb guest,2
8129,jurassic park,2
8126,song of ice,2
8125,absolute worst,2
8123,inexpensive getaway,2
8751,single traveler - walker,2
8121,tree-themed library,2
8119,ridiculous fan of game,2
8752,unique local eateries,2
8118,fantastic food recommendations,2
8115,red wine sauce,2
8114,biggest couch potato,2
8091,main hobbies,2
8760,music healing,2
8063,perfect example,2
8062,seattle art museum gallery,2
8061,pacific northwest magazine,2
8060,husband doug,2
8059,joyful living,2
8058,healthy environments,2
8057,sculpture magazine,2
8056,healthy living,2
8055,general contractor,2
8761,negative thinking,2
8089,high school science,2
8762,false barriers,2
8024,tree hugger,2
8023,small dogs,2
8022,lot's of great places,2
8014,best of friends,2
8013,upbeat house,2
8012,bat biologist,2
8011,doctorate degree,2
8010,new cultural experiences,2
8763,big kick,2
8065,vacation rental property,2
8067,fine woodworker,2
8068,private walkway,2
8088,public school teachers,2
8087,middle school humanities,2
8085,mayan pyramid,2
8084,chichen itza,2
8082,casi cielo,2
8081,fireball meteor,2
8080,northern light,2
8079,great pacific nw-seattle,2
8078,recent experience of aurora borealis,2
8077,favorite traveling memory,2
8076,random neighborhoods,2
8075,wife christine,2
8074,day road trip,2
8073,international ramble,2
8071,virginia beach,2
8069,build team,2
8134,cool fact,2
8256,organic experience,2
8209,light rail station,2
8207,families life motto,2
8206,wonderful forested park,2
8205,wonderful families,2
8203,picky eater,2
8201,structural design engineer,2
8199,town guests,2
8188,gen seattlelite,2
8198,professional thirty,2
8197,s craftsman,2
8196,short lived summer,2
8743,seamless experience possible,2
8193,added benefit,2
8192,private entrance,2
8191,finished basement apartment,2
8190,long list of home improvement projects,2
8189,native seattleites,2
8742,diverse experiences,2
8220,year round bbq,2
8221,good margarita,2
8741,best direction,2
8249,vast majority,2
8248,twisted sense of humor,2
8247,culinary skills,2
8245,wine publication,2
8244,dishes worthy of food,2
8243,cancellation policy,2
8242,best chance of success,2
8241,listing description,2
8240,constant work,2
8239,plumbing work,2
8739,best time possible,2
8238,property description,2
8237,new dog,2
8740,best adventures,2
8235,local farmers market,2
8187,joe's mom,2
8148,mixture of total relaxation,2
8158,people's families,2
8157,modest house,2
8156,modest cottage,2
8155,city's parks,2
8154,outdoor spaces,2
8153,east coast transplants,2
8152,weight lifting,2
8151,year old children,2
8150,fun sites,2
8149,hardcore exercise,2
8146,dorky podcasts,2
8145,welcoming space,2
8143,mini-aussie pup,2
8142,meeting ground,2
8748,immediate feedback,2
8141,game nights,2
8750,hiker - amateur photographer  - history buff - constant reader,2
8140,positive experience,2
8159,loved ones,2
8160,little neighborhood restaurants,2
8161,base of operations,2
8162,wife leslie,2
8184,young couple of nurses,2
8179,central americas,2
8178,shores of north,2
8177,recreational travels,2
8176,essentually pacific coast life,2
8745,middle school teacher,2
8175,marshall fund,2
8173,landscape architects,2
8171,peaceful space,2
8170,bountiful nature,2
8169,gorgeous garden cottage,2
8168,seattle visitors,2
8167,edible garden,2
8166,new permanent home,2
8164,real neighborhoods,2
8163,wonderful time,2
7819,avid music lover,2
7818,weather's nice,2
8773,jungle hiking,2
7817,interesting locals,2
7816,tourist zone,2
7815,tax law,2
7814,avid biker,2
7812,best travel experiences,2
7811,austrian journalist,2
8776,toy variety,2
8778,great street fairs,2
7810,canadian healthcare provider,2
7808,martin's new job,2
7806,ferry rides,2
7805,silent-movie mondays,2
7804,quick day-trips,2
7822,beacon hill neighborhood,2
7823,longtime seattle residents,2
8772,planting flowers,2
7824,remote places,2
7856,blank slate,2
7855,week trip,2
7854,big momma's boys,2
7853,big munch mouths,2
8771,rounded person,2
7850,new areas,2
7847,non-tourist stuff,2
7833,strong communities,2
7832,non-profit sector,2
7831,teenaged son,2
7829,health care industry,2
7828,cell phones,2
7827,intersection of media,2
7825,different time,2
7803,community-oriented neighbourhood of north beacon hill,2
7801,family home,2
7997,big garden,2
7775,avid blogger,2
7773,dear friends,2
7770,good glass of wine,2
7769,vintage barware,2
7767,hula hoop,2
7766,island of kauai,2
7764,certain i,2
7800,seattle international film festival,2
7754,bon voyage,2
7753,floor apartment,2
7751,chill neighborhood,2
7750,continuous learning,2
7749,clean comfortable place,2
7748,fun confident sweetheart,2
7747,year old daughter svara,2
7746,lot of pride,2
7776,creativity fiend,2
7777,things food-related,2
7778,outdoor adventure seeker,2
7779,gardening guru,2
7799,cheery little house,2
7798,seattle symphony,2
7794,little duck,2
7793,wee animals,2
7789,fulbright fellow,2
7788,malmo university,2
7787,small nonprofit servicing homeless adults,2
7786,middle child of small herd,2
8779,spicy foods,2
7785,favorite consignment,2
7784,thriving fitness community,2
7783,water sport guided tour,2
7782,native town,2
7781,yoga studio,2
7780,craft projects,2
7858,historical fiction,2
7859,host style,2
7860,best buds,2
7962,hawaiian airlines,2
7961,wonderful space,2
7960,great stories,2
7959,kitchen remodel,2
7939,kitchen warm,2
7938,beautiful earth,2
7937,fantastic neighbors,2
7932,given night,2
7861,audio books,2
7931,original owner,2
7930,amazing mountains,2
7928,bird watch,2
7927,active young daughters,2
7926,gathering of kids,2
7923,terms of heating,2
7921,consortium of residential energy efficiency contractors,2
7963,lapaz mexico,2
7964,airline pilot,2
7965,south east asia,2
7966,vietnam war,2
7995,wonderful day,2
7994,massage studio,2
8764,live theater,2
7992,seattle u,2
8765,big seahawks fan,2
8766,cool treasures,2
8768,glass of decent wine,2
8769,estate sales,2
7976,gorgeous pacific northwest,2
7974,cute little corgi,2
8770,kinds of awesome activities,2
7973,grown sons,2
7972,beautiful new house,2
7971,damn fault,2
7970,us navy,2
7969,wife margie,2
7967,dumb luck,2
7920,cooling systems,2
7919,pre-school years,2
7893,nature lovers,2
7890,starry night skies,2
