id,documents__score,errors__id,errors__message
953595,0.750269413,,
3308979,0.761580944,,
278830,0.980896771,,
5956968,0.954073429,,
1909058,0.906857491,,
856550,0.947261214,,
4948745,0.993800879,,
2493658,0.750269413,,
175576,0.981995583,,
4454295,0.938189387,,
3883392,0.957287252,,
8889257,0.933254957,,
5680462,0.857436538,,
8988178,0.978861928,,
3245876,0.987427235,,
7735464,0.752673924,,
6291829,0.789979339,,
4125779,0.997595608,,
10106055,0.996147156,,
3544550,0.761580944,,
9025039,0.977312088,,
3200646,0.947261214,,
8859380,0.932813644,,
2481869,0.750269413,,
1110749,0.96556443,,
1686930,0.941236556,,
7680289,0.5,,
7207641,0.5,,
5062445,0.991207242,,
8925878,0.5,,
6389657,0.966219246,,
4218733,0.985247433,,
2715623,0.86862731,,
1392332,0.967523575,,
7308567,0.995615065,,
6575380,0.5,,
6004058,0.94328928,,
5383192,0.961987615,,
1112092,0.903442979,,
7714294,0.964933038,,
9368342,0.763102293,,
6361863,0.898972154,,
8105221,0.927522779,,
8095168,0.964933038,,
2746782,0.947261214,,
6424982,0.96846807,,
762029,0.947261214,,
8988281,0.5,,
7077910,0.749920249,,
3772674,0.98168993,,
7021906,0.984192967,,
7618605,0.901682019,,
10234558,0.890360594,,
7680439,0.93153888,,
4258515,0.977166653,,
1148517,0.5,,
2487892,0.5,,
3038772,0.948730707,,
699460,0.5,,
8053990,0.981832623,,
7011773,0.981832623,,
2467550,0.935562134,,
2686374,0.907678366,,
1956274,0.965265274,,
8537192,0.5,,
5919096,0.969258606,,
3294243,0.972190499,,
10210971,0.842204809,,
3584790,0.999413013,,
1266459,0.980663657,,
9098059,0.5,,
408526,0.948100686,,
4118282,0.940044641,,
2650482,0.983573735,,
20927,0.5,,
4395578,0.5,,
5549211,0.984192967,,
6856295,0.997254848,,
6881188,0.909052134,,
1579615,0.983892441,,
3766866,0.974716544,,
2406966,0.969258606,,
5470629,0.949990571,,
7134759,0.981832623,,
4532538,0.243573129,,
9387189,0.991308749,,
1609922,0.925215721,,
4236723,0.907678366,,
3076065,0.905643702,,
6423204,0.966563463,,
8338849,0.5,,
6401209,0.984192967,,
20928,0.5,,
3344977,0.933407426,,
3303978,0.978540063,,
7067082,0.961305976,,
3121829,0.957251668,,
2539881,0.5,,
3678718,0.951547861,,
4694479,0.998925805,,
6646843,0.925544262,,
1364440,0.963347077,,
1781873,0.5,,
4138423,0.97574389,,
5562674,0.244960189,,
1789341,0.94251585,,
4672934,0.239412755,,
4550099,0.987126708,,
1198799,0.953058362,,
5308429,0.972449303,,
2769088,0.29147774,,
9374365,0.961101532,,
6106498,0.993387938,,
9331449,0.961101532,,
4317390,0.946514368,,
3884851,0.915844679,,
3155785,0.919206619,,
9368517,0.5,,
5042014,0.988070607,,
9449437,0.961101532,,
3053237,0.976461411,,
8132347,0.953877091,,
63733,0.882696271,,
2039149,0.96556443,,
227636,0.965448499,,
3689119,0.913603187,,
1179538,0.961101532,,
6823781,0.980934501,,
2284536,0.97574389,,
5143441,0.827811837,,
5749958,0.983275056,,
9116815,0.866669416,,
7731836,0.994285941,,
10262971,0.5,,
1407502,0.5,,
8817038,0.5,,
4449303,0.239412755,,
8255615,0.5,,
4053092,0.970695078,,
6886633,0.938660979,,
8820414,0.5,,
3052151,0.29147774,,
2339333,0.5,,
1618842,0.985193789,,
888967,0.5,,
380950,0.9360255,,
5671843,0.988070607,,
904057,0.99593699,,
7161725,0.982645273,,
9587410,0.98532778,,
9202380,0.963530719,,
2238105,0.966147721,,
2441908,0.957370639,,
9367465,0.5,,
3031415,0.96556443,,
843812,0.5,,
3975434,0.952403307,,
5620928,0.986076593,,
5487934,0.973714709,,
9028447,0.957202971,,
757840,0.998029709,,
8848403,0.891955614,,
7430926,0.963255644,,
7021544,0.707632661,,
1323446,0.945844173,,
8723086,0.968331575,,
781474,0.985602975,,
9812439,0.707632661,,
3401644,0.926361203,,
10036903,0.949877024,,
5308875,0.950383067,,
5052459,0.800570726,,
7228499,0.96556443,,
1494986,0.959381104,,
1783382,0.969730377,,
7513198,0.5,,
8308316,0.932813644,,
9694921,0.955521703,,
2472850,0.5,,
5487522,0.973714709,,
4016650,0.985253572,,
3479241,0.949240327,,
5848400,0.5,,
1167507,0.989741564,,
6044106,0.707632661,,
1799255,0.991636515,,
8941768,0.963262916,,
7733192,0.866300106,,
9215782,0.965309799,,
5175631,0.980233848,,
9134193,0.980978251,,
2481189,0.981263995,,
9476826,0.933369279,,
3144311,0.913456619,,
9370007,0.836412072,,
160222,0.944263279,,
4250367,0.942143559,,
8755479,0.5,,
8829156,0.891955614,,
5126077,0.5,,
6108796,0.707632661,,
2692126,0.992032528,,
3544953,0.987166286,,
2020505,0.5,,
5580457,0.852771521,,
1495271,0.943992615,,
7091397,0.887296796,,
7763878,0.898988962,,
8088447,0.5,,
3418349,0.975038767,,
7627794,0.968119562,,
8374102,0.836412072,,
6316934,0.707632661,,
1820794,0.966976643,,
314180,0.982099533,,
4868135,0.991057515,,
1427103,0.952382922,,
3518808,0.5,,
8995844,0.5,,
356566,0.982099533,,
6466388,0.5,,
4531944,0.876585007,,
6686072,0.5,,
4384343,0.183298022,,
7900056,0.946081161,,
6378563,0.88056612,,
5630783,0.5,,
340706,0.898886979,,
6202214,0.964653194,,
1030411,0.5,,
7922373,0.5,,
6156470,0.94240576,,
2994309,0.99705261,,
1594328,0.843553901,,
6915487,0.946081161,,
5286781,0.967304707,,
2818420,0.92704463,,
3739681,0.913750112,,
7922063,0.976170421,,
611509,0.996303141,,
1802663,0.784492254,,
9797545,0.967673182,,
9241055,0.913750112,,
7258811,0.5,,
10265391,0.997585297,,
132120,0.985555887,,
3066740,0.945069432,,
4130112,0.5,,
4026757,0.5,,
9545281,0.856391788,,
3294804,0.98494184,,
4122325,0.962293863,,
8308353,0.92905283,,
7226013,0.942398965,,
5761290,0.946081161,,
182716,0.95972383,,
3050140,0.961640358,,
3254956,0.88660121,,
1264287,0.5,,
3404557,0.5,,
3939683,0.5,,
3424242,0.5,,
7985714,0.5,,
4279876,0.968882918,,
3870253,0.5,,
2187563,0.869162381,,
3889299,0.5,,
3889330,0.5,,
1184846,0.870987773,,
3626162,0.919270039,,
456040,0.922774076,,
4340838,0.966927648,,
808811,0.91804862,,
522287,0.98160696,,
1940787,0.952382922,,
3732103,0.5,,
43373,0.946312308,,
5126365,0.5,,
7182584,0.95127064,,
5325214,0.91804862,,
2710274,0.834376991,,
5128160,0.916207075,,
3424114,0.5,,
2776890,0.932247162,,
4521755,0.88056612,,
3456599,0.98494184,,
1252740,0.803796232,,
4250938,0.5,,
3791920,0.928200126,,
4258762,0.991717577,,
7364146,0.846560717,,
6765045,0.927239776,,
3193738,0.94251585,,
8765219,0.266956329,,
8174285,0.982099533,,
3403638,0.5,,
7601333,0.826721013,,
6707735,0.994529009,,
6606,0.983182549,,
3889280,0.5,,
3889050,0.5,,
799882,0.809002459,,
9508386,0.986400783,,
6714817,0.900586128,,
3773568,0.753382444,,
9313974,0.843553901,,
6492880,0.940425813,,
4879013,0.807679534,,
3732094,0.5,,
873073,0.5,,
234898,0.841862857,,
8533375,0.943026543,,
6854019,0.96313262,,
8418650,0.908078551,,
3732076,0.5,,
4608592,0.92852211,,
4862719,0.922774076,,
668169,0.999091148,,
429453,0.982099533,,
7459684,0.877204895,,
7917718,0.976429462,,
2986056,0.5,,
2011193,0.952382922,,
3768626,0.868949175,,
2026794,0.834376991,,
9154294,0.947565317,,
430610,0.85240221,,
3231850,0.87921387,,
2976798,0.982684016,,
703058,0.943870425,,
7826541,0.842154503,,
240920,0.999091148,,
6655233,0.5,,
9866461,0.988361239,,
1428687,0.730427027,,
4803403,0.941876888,,
11012,0.983182549,,
3888924,0.5,,
8842808,0.5,,
1114695,0.85240221,,
1715582,0.994612336,,
8555098,0.5,,
1214316,0.979116559,,
6325685,0.94240576,,
9596,0.983182549,,
9568491,0.971971393,,
1747184,0.916423082,,
6727729,0.990714431,,
3888986,0.5,,
4135710,0.94251585,,
3652434,0.942638874,,
7667990,0.14981544,,
4047058,0.5,,
7163934,0.994868279,,
4653552,0.983892798,,
506542,0.5,,
4046863,0.5,,
3915826,0.926595032,,
4787415,0.957004309,,
1602488,0.953336537,,
10274175,0.917801857,,
9167786,0.967325032,,
5686435,0.951358557,,
7939058,0.981121421,,
8392801,0.5,,
3720511,0.975674987,,
7957904,0.965837836,,
4555997,0.5,,
2267088,0.932745397,,
108468,0.5,,
6400379,0.968354762,,
5948003,0.952345014,,
5058086,0.911681771,,
1209255,0.993533254,,
1914051,0.983588934,,
2923529,0.860476375,,
1027860,0.945042968,,
2373176,0.983588934,,
8517602,0.880471468,,
4583161,0.970431805,,
7967844,0.984405994,,
5405643,0.977902532,,
610989,0.860589862,,
7839535,0.968354762,,
186328,0.990820944,,
7492877,0.958136737,,
6576228,0.976460934,,
241016,0.967325032,,
4116645,0.974686027,,
2419879,0.953336537,,
6425735,0.836807489,,
9136499,0.171967417,,
6724599,0.90936923,,
4211629,0.969021082,,
7151924,0.995342016,,
704764,0.5,,
1796217,0.98167789,,
4661812,0.933867276,,
8811945,0.913659215,,
1090307,0.941889226,,
15108,0.996573031,,
1882316,0.758461356,,
1095207,0.909362376,,
1343805,0.820869088,,
103920,0.959108591,,
2215336,0.746080041,,
1483944,0.880381346,,
6466129,0.99484843,,
8536441,0.751027048,,
6262987,0.99118948,,
8379081,0.5,,
132160,0.967566013,,
2033191,0.978010774,,
8849407,0.979810834,,
7243974,0.904073954,,
6490453,0.832012892,,
4025593,0.984412074,,
955506,0.974575758,,
9868607,0.958122671,,
8668073,0.5,,
790860,0.959108591,,
261912,0.967566013,,
368403,0.955978632,,
9395217,0.5,,
580182,0.990593255,,
8152191,0.995645761,,
103908,0.959108591,,
783061,0.809002459,,
4968752,0.5,,
14386,0.996573031,,
1602421,0.996573031,,
3821822,0.5,,
6073437,0.803667068,,
6278181,0.99118948,,
9907337,0.853443503,,
4211836,0.99634409,,
84030,0.972452521,,
4235559,0.923308909,,
830948,0.921857476,,
1145590,0.921857476,,
3522409,0.908197761,,
9492873,0.881682634,,
5534463,0.86040169,,
9347157,0.859974861,,
10035644,0.810011923,,
8293287,0.959591389,,
910784,0.964337468,,
7071222,0.749704838,,
8687716,0.953526855,,
180939,0.801381707,,
6884604,0.5,,
7397476,0.898318291,,
1063855,0.801381707,,
8865006,0.939466119,,
8069192,0.945209265,,
2800448,0.869166374,,
9076287,0.997774661,,
8225635,0.898318291,,
2966415,0.900613666,,
4639465,0.927642941,,
5670781,0.978372157,,
1905473,0.972529531,,
9095510,0.997774661,,
5174876,0.962759614,,
1256883,0.970691681,,
6706377,0.857276738,,
9738522,0.898318291,,
2995996,0.5,,
6674408,0.966806591,,
6801095,0.990717113,,
143704,0.975201488,,
3727017,0.848977327,,
789966,0.990711927,,
6864319,0.924750328,,
1539463,0.996222973,,
9591787,0.898318291,,
10279830,0.788075328,,
1956553,0.741014302,,
7396508,0.898318291,,
6272065,0.972571909,,
7075948,0.856480539,,
7543458,0.978246927,,
3769336,0.5,,
8666707,0.897597671,,
7205443,0.970691681,,
193371,0.749704838,,
9957555,0.977622867,,
6795678,0.5,,
9300972,0.976720273,,
8047522,0.898318291,,
6576006,0.976720273,,
7971334,0.951752424,,
1984962,0.953526855,,
9292039,0.970691681,,
6661617,0.962428212,,
3251069,0.924750328,,
4111137,0.944593549,,
4760472,0.913519502,,
8968925,0.055987746,,
3293438,0.839719415,,
3319386,0.950294733,,
5578943,0.979179204,,
4271221,0.850826144,,
6358605,0.943306804,,
1439237,0.754295945,,
7775167,0.966718078,,
7437784,0.834833801,,
9628972,0.975273013,,
8425013,0.991187155,,
7400955,0.978186011,,
8174389,0.934312999,,
6292452,0.963754535,,
9095668,0.997337818,,
413733,0.5,,
639130,0.963675618,,
2484067,0.834833801,,
3533112,0.752673924,,
2249292,0.935681939,,
7838294,0.899821997,,
6133354,0.982012272,,
7987836,0.964523792,,
9910025,0.76927495,,
7364024,0.939548016,,
9362082,0.5,,
8847108,0.909734547,,
7462428,0.998629332,,
4370312,0.987533569,,
4053972,0.914295554,,
6412858,0.983887315,,
3987838,0.93451035,,
7027507,0.882306218,,
6587443,0.983887315,,
1029680,0.872950435,,
7208439,0.958114147,,
3953611,0.5,,
2584354,0.858427525,,
4574700,0.95766592,,
5685646,0.5,,
977722,0.97643435,,
2931922,0.992088199,,
8253955,0.883840561,,
