,0
241032,1
953595,0
3308979,1
278830,1
5956968,0
1909058,0
856550,0
4948745,1
2493658,0
175576,1
4454295,0
3883392,0
8889257,0
5680462,0
8988178,0
3245876,0
7735464,0
6291829,0
4125779,0
10106055,0
3544550,1
9025039,0
3200646,0
8859380,0
2481869,0
1110749,0
1686930,0
7680289,0
7207641,0
5062445,0
8925878,0
6389657,0
4218733,0
2715623,0
1392332,0
7308567,0
6575380,0
6004058,0
5383192,0
1112092,0
7714294,1
9368342,1
6361863,1
8105221,0
8095168,1
2746782,0
6424982,1
762029,0
8988281,0
7077910,0
3772674,0
7021906,0
7618605,1
10234558,0
7680439,0
4258515,0
1148517,0
2487892,0
3038772,1
699460,0
8053990,0
7011773,0
2467550,0
2686374,0
1956274,0
8537192,0
5919096,0
3294243,0
10210971,0
3584790,0
1266459,0
9098059,0
408526,0
4118282,0
2650482,0
20927,0
4395578,0
5549211,0
6856295,0
6881188,1
1579615,0
3766866,0
2406966,0
5470629,0
7134759,0
4532538,0
9387189,0
1609922,0
4236723,0
3076065,0
6423204,0
8338849,0
6401209,0
20928,0
3344977,0
3303978,0
7067082,1
3121829,0
2539881,0
3678718,0
4694479,1
6646843,0
1364440,0
1781873,0
4138423,0
5562674,0
1789341,0
4672934,0
4550099,1
1198799,1
5308429,0
2769088,0
9374365,0
6106498,2
9331449,0
4317390,0
3884851,0
3155785,1
9368517,0
5042014,0
9449437,0
3053237,0
8132347,0
63733,0
2039149,0
227636,0
3689119,0
1179538,0
6823781,0
2284536,0
5143441,0
5749958,0
9116815,0
7731836,0
10262971,0
1407502,0
8817038,0
4449303,0
8255615,0
4053092,1
6886633,0
8820414,0
3052151,0
2339333,0
1618842,0
888967,0
380950,0
5671843,0
904057,0
7161725,0
9587410,1
9202380,1
2238105,0
2441908,0
9367465,0
3031415,0
843812,0
3975434,0
5620928,2
5487934,0
9028447,0
757840,0
8848403,0
7430926,0
7021544,0
1323446,0
8723086,0
781474,0
9812439,0
3401644,1
10036903,0
5308875,0
5052459,0
7228499,0
1494986,0
1783382,0
7513198,0
8308316,0
9694921,0
2472850,0
5487522,0
4016650,0
3479241,0
5848400,0
1167507,0
6044106,0
1799255,1
8941768,0
7733192,0
9215782,0
5175631,0
9134193,2
2481189,0
9476826,0
3144311,0
9370007,0
160222,0
4250367,0
8755479,1
8829156,0
5126077,1
6108796,0
2692126,0
3544953,0
2020505,0
5580457,0
1495271,0
7091397,0
7763878,0
8088447,0
3418349,0
7627794,0
8374102,0
6316934,0
1820794,1
314180,0
4868135,0
1427103,1
3518808,0
8995844,0
356566,0
6466388,0
4531944,0
6686072,0
4384343,0
7900056,0
6378563,0
5630783,0
340706,0
6202214,1
1030411,0
7922373,0
6156470,0
2994309,0
1594328,0
6915487,0
5286781,1
2818420,0
3739681,0
7922063,0
611509,0
1802663,0
9797545,1
9241055,0
7258811,0
10265391,0
132120,0
3066740,0
4130112,0
4026757,0
9545281,0
3294804,0
4122325,0
8308353,0
7226013,0
5761290,0
182716,0
3050140,1
3254956,0
1264287,0
3404557,0
3939683,0
3424242,0
7985714,0
4279876,1
3870253,0
2187563,0
3889299,0
3889330,0
1184846,0
3626162,1
456040,0
4340838,0
808811,0
522287,1
1940787,1
3732103,0
43373,1
5126365,0
7182584,0
5325214,0
2710274,0
5128160,0
3424114,0
2776890,0
4521755,0
3456599,0
1252740,2
4250938,0
3791920,0
4258762,0
7364146,0
6765045,0
3193738,0
8765219,0
8174285,0
3403638,0
7601333,0
6707735,0
6606,0
3889280,0
3889050,0
799882,0
9508386,0
6714817,0
3773568,0
9313974,0
6492880,0
4879013,0
3732094,0
873073,0
234898,0
8533375,0
6854019,0
8418650,0
3732076,0
4608592,0
4862719,0
668169,0
429453,0
7459684,0
7917718,0
2986056,0
2011193,1
3768626,0
2026794,0
9154294,0
430610,0
3231850,0
2976798,0
703058,0
7826541,0
240920,0
6655233,0
9866461,0
1428687,0
4803403,0
11012,0
3888924,0
8842808,1
1114695,0
1715582,0
8555098,0
1214316,0
6325685,0
9596,0
9568491,0
1747184,0
6727729,0
3888986,0
4135710,0
3652434,1
7667990,0
4047058,0
7163934,0
4653552,0
506542,0
4046863,0
3915826,0
4787415,0
1602488,0
10274175,0
9167786,1
5686435,0
7939058,0
8392801,0
3720511,0
7957904,0
4555997,0
2267088,0
108468,0
6400379,0
5948003,1
5058086,0
1209255,0
1914051,0
2923529,0
1027860,0
2373176,0
8517602,0
4583161,1
7967844,0
5405643,0
610989,1
7839535,0
186328,0
7492877,0
6576228,0
241016,1
4116645,0
2419879,0
6425735,0
9136499,2
6724599,0
4211629,0
7151924,0
704764,0
1796217,1
4661812,0
8811945,0
1090307,0
15108,1
1882316,0
1095207,0
1343805,0
103920,0
2215336,0
1483944,0
6466129,0
8536441,0
6262987,1
8379081,0
132160,0
2033191,0
8849407,0
7243974,0
6490453,0
4025593,2
955506,0
9868607,0
8668073,0
790860,0
261912,0
368403,0
9395217,0
580182,1
8152191,0
103908,0
783061,0
4968752,0
14386,1
1602421,1
3821822,0
6073437,1
6278181,1
9907337,0
4211836,0
84030,1
4235559,0
830948,0
1145590,0
3522409,0
9492873,0
5534463,0
9347157,0
10035644,0
8293287,0
910784,0
7071222,0
8687716,0
180939,0
6884604,0
7397476,0
1063855,0
8865006,1
8069192,0
2800448,0
9076287,1
8225635,0
2966415,0
4639465,0
5670781,0
1905473,0
9095510,1
5174876,0
1256883,0
6706377,0
9738522,0
2995996,0
6674408,0
6801095,1
143704,0
3727017,0
789966,0
6864319,0
1539463,0
9591787,0
10279830,1
1956553,1
7396508,0
6272065,0
7075948,0
7543458,0
3769336,0
8666707,0
7205443,0
193371,0
9957555,0
6795678,0
9300972,0
8047522,0
6576006,0
7971334,0
1984962,0
9292039,0
6661617,1
3251069,0
4111137,0
4760472,0
8968925,0
3293438,0
3319386,0
5578943,0
4271221,0
6358605,0
1439237,0
7775167,0
7437784,0
9628972,1
8425013,0
7400955,0
8174389,0
6292452,0
9095668,0
413733,0
639130,0
2484067,0
3533112,0
2249292,0
7838294,0
6133354,1
7987836,0
9910025,0
7364024,0
9362082,0
8847108,1
7462428,0
4370312,0
4053972,1
6412858,0
3987838,0
