id,host_id,host_response_rate,host_is_superhost,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,description_score,bio_score,neighbourhood_Ballard,neighbourhood_Beacon_Hill,neighbourhood_Capitol_Hill,neighbourhood_Cascade,neighbourhood_Central_Area,neighbourhood_Delridge,neighbourhood_Downtown,neighbourhood_Interbay,neighbourhood_Lake_City,neighbourhood_Magnolia,neighbourhood_Northgate,neighbourhood_Other_neighborhoods,neighbourhood_Queen_Anne,neighbourhood_Rainier_Valley,neighbourhood_Seward_Park,neighbourhood_University_District,neighbourhood_West_Seattle,property_type_Apartment,property_type_Bed_Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Townhouse,room_type_Entire_home_apt,room_type_Private_room,room_type_Shared_room
953595,5177328.0,98.0,1.0,4.0,1.0,1.0,1.0,1.0,150.0,43.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.990736187,0.7502694129999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
3308979,16708587.0,67.0,0.0,11.0,10.0,4.5,5.0,7.0,975.0,20.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95890367,0.7615809440000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
278830,1452570.0,100.0,0.0,6.0,6.0,2.0,3.0,3.0,450.0,38.0,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0.989110231,0.980896771,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5956968,326758.0,94.88679817905918,0.0,2.0,1.0,1.0,1.0,1.0,120.0,17.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9754293559999999,0.954073429,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1909058,2497928.0,100.0,1.0,2.0,1.0,1.0,1.0,1.0,80.0,58.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9199845190000001,0.9068574909999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
856550,,,,,,,,,,,,,,,,,,,0.9472612140000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4948745,2166277.0,94.88679817905918,0.0,2.0,1.0,1.0,1.0,1.0,90.0,8.0,97.0,10.0,9.0,10.0,9.0,10.0,10.0,0.819615543,0.993800879,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2493658,5177328.0,98.0,1.0,4.0,1.0,1.0,1.0,1.0,150.0,32.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.99693507,0.7502694129999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
175576,239585.0,100.0,1.0,2.0,2.0,1.0,1.0,1.0,95.0,181.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5,0.981995583,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4454295,4606439.0,100.0,0.0,2.0,1.0,1.0,1.0,1.0,99.0,8.0,97.0,10.0,10.0,9.0,10.0,10.0,9.0,0.992662072,0.938189387,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3883392,19932967.0,100.0,1.0,4.0,1.0,1.0,2.0,3.0,245.0,13.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9631086590000001,0.957287252,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
8889257,25899989.0,100.0,0.0,5.0,4.0,1.0,2.0,3.0,165.0,3.0,100.0,10.0,10.0,9.0,9.0,10.0,10.0,0.827546418,0.933254957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5680462,22372266.0,100.0,0.0,16.0,8.0,3.5,6.0,15.0,461.0,18.0,98.0,9.0,10.0,10.0,10.0,10.0,10.0,0.981267214,0.857436538,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8988178,2983711.0,100.0,0.0,5.0,1.0,1.0,2.0,2.0,109.0,1.0,80.0,8.0,10.0,8.0,8.0,8.0,8.0,0.954851985,0.9788619279999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3245876,9465817.0,100.0,0.0,2.0,1.0,1.0,1.0,1.0,66.0,84.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.9081256390000001,0.987427235,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
7735464,6170760.0,94.88679817905918,0.0,2.0,1.0,2.0,1.0,1.0,200.0,0.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.828774095,0.7526739240000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6291829,32713558.0,94.88679817905918,0.0,10.0,1.0,3.5,5.0,5.0,700.0,5.0,85.0,10.0,9.0,9.0,9.0,8.0,8.0,0.887775898,0.7899793390000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4125779,21401856.0,100.0,0.0,3.0,1.0,1.5,1.0,2.0,99.0,11.0,84.0,9.0,9.0,9.0,9.0,10.0,8.0,0.995284081,0.997595608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
