id,host_id,host_response_rate,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,description_score
8067053,42608911,100.0,0.0,Beacon Hill,House,Private room,2,1,1.0,1.0,1.0,60.0,3,80.0,8.0,6.0,8.0,10.0,9.0,9.0,0.7552250620000001
1872885,9759010,100.0,0.0,Beacon Hill,House,Private room,1,1,2.5,1.0,2.0,105.0,5,100.0,9.0,9.0,10.0,9.0,9.0,9.0,0.993070364
6561379,34321359,100.0,0.0,Beacon Hill,House,Entire home/apt,5,2,1.0,2.0,2.0,144.0,15,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.732178688
265901,862329,89.0,0.0,Beacon Hill,House,Private room,2,1,1.0,1.0,1.0,69.0,15,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0.7896081209999999
392779,437055,100.0,0.0,Beacon Hill,Apartment,Entire home/apt,4,2,1.0,2.0,2.0,108.0,80,98.0,10.0,10.0,10.0,10.0,9.0,9.0,0.999368668
202174,58235,100.0,0.0,Beacon Hill,House,Entire home/apt,4,2,2.0,1.0,1.0,159.0,14,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0.862965822
7853358,24905439,90.0,0.0,Beacon Hill,House,Entire home/apt,4,2,1.0,2.0,3.0,85.0,11,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0.892951846
2197168,11206862,100.0,1.0,Beacon Hill,House,Entire home/apt,4,2,1.0,2.0,2.0,135.0,79,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95097506
4075152,3319535,100.0,0.0,Beacon Hill,Bed & Breakfast,Private room,2,1,1.0,1.0,1.0,89.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9880142209999999
5593399,26135596,100.0,0.0,Beacon Hill,Apartment,Entire home/apt,3,1,1.0,1.0,2.0,120.0,7,91.0,10.0,9.0,10.0,10.0,9.0,9.0,0.5
366301,1849458,78.0,0.0,Beacon Hill,Apartment,Entire home/apt,3,3,1.0,1.0,1.0,70.0,9,91.0,9.0,9.0,10.0,10.0,9.0,9.0,0.9684385059999999
6644628,3686989,94.88679817905918,0.0,Beacon Hill,Townhouse,Private room,2,2,1.5,1.0,1.0,150.0,9,96.0,10.0,10.0,9.0,10.0,9.0,9.0,0.5
3593582,18104211,94.88679817905918,0.0,Beacon Hill,House,Entire home/apt,5,2,2.5,2.0,2.0,120.0,1,80.0,10.0,6.0,10.0,10.0,10.0,10.0,0.5
6796066,1466280,100.0,0.0,Beacon Hill,House,Private room,1,1,1.0,1.0,1.0,60.0,10,98.0,9.0,8.0,10.0,10.0,10.0,9.0,0.9783988000000001
3977450,18422078,100.0,0.0,Beacon Hill,House,Private room,1,1,1.0,1.0,1.0,36.0,67,94.0,10.0,10.0,10.0,10.0,9.0,10.0,0.8966558579999999
793629,4181120,100.0,0.0,Beacon Hill,House,Entire home/apt,2,1,1.0,1.0,1.0,95.0,109,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0.984035254
9110410,12420261,94.88679817905918,0.0,Rainier Valley,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,88.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9845229390000001
5705161,29481973,100.0,1.0,Beacon Hill,Apartment,Private room,3,2,1.0,1.0,2.0,75.0,93,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0.985218644
8596938,45242470,94.88679817905918,0.0,Beacon Hill,Apartment,Entire home/apt,6,1,1.0,2.0,2.0,130.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.792722523
5364119,4448620,100.0,1.0,Beacon Hill,House,Private room,2,2,1.0,1.0,1.0,63.0,23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.89625144
