id,host_id,host_response_rate,host_is_superhost,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,description_score,neighbourhood_Ballard,neighbourhood_Beacon_Hill,neighbourhood_Capitol_Hill,neighbourhood_Cascade,neighbourhood_Central_Area,neighbourhood_Delridge,neighbourhood_Downtown,neighbourhood_Interbay,neighbourhood_Lake_City,neighbourhood_Magnolia,neighbourhood_Northgate,neighbourhood_Other_neighborhoods,neighbourhood_Queen_Anne,neighbourhood_Rainier_Valley,neighbourhood_Seward_Park,neighbourhood_University_District,neighbourhood_West_Seattle,property_type_Apartment,property_type_Bed_Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Townhouse,room_type_Entire_home_apt,room_type_Private_room,room_type_Shared_room
241032,956883,96.0,0.0,4,2,1.0,1.0,1.0,85.0,207,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0.9782127140000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
953595,5177328,98.0,1.0,4,1,1.0,1.0,1.0,150.0,43,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.990736187,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
3308979,16708587,67.0,0.0,11,10,4.5,5.0,7.0,975.0,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95890367,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7421966,9851441,94.88679817905918,0.0,3,1,1.0,0.0,2.0,100.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8401330709999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
278830,1452570,100.0,0.0,6,6,2.0,3.0,3.0,450.0,38,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0.989110231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5956968,326758,94.88679817905918,0.0,2,1,1.0,1.0,1.0,120.0,17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9754293559999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1909058,2497928,100.0,1.0,2,1,1.0,1.0,1.0,80.0,58,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9199845190000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4948745,2166277,94.88679817905918,0.0,2,1,1.0,1.0,1.0,90.0,8,97.0,10.0,9.0,10.0,9.0,10.0,10.0,0.819615543,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2493658,5177328,98.0,1.0,4,1,1.0,1.0,1.0,150.0,32,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.99693507,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
175576,239585,100.0,1.0,2,2,1.0,1.0,1.0,95.0,181,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4454295,4606439,100.0,0.0,2,1,1.0,1.0,1.0,99.0,8,97.0,10.0,10.0,9.0,10.0,10.0,9.0,0.992662072,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3883392,19932967,100.0,1.0,4,1,1.0,2.0,3.0,245.0,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9631086590000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
8889257,25899989,100.0,0.0,5,4,1.0,2.0,3.0,165.0,3,100.0,10.0,10.0,9.0,9.0,10.0,10.0,0.827546418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5680462,22372266,100.0,0.0,16,8,3.5,6.0,15.0,461.0,18,98.0,9.0,10.0,10.0,10.0,10.0,10.0,0.981267214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8988178,2983711,100.0,0.0,5,1,1.0,2.0,2.0,109.0,1,80.0,8.0,10.0,8.0,8.0,8.0,8.0,0.954851985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3245876,9465817,100.0,0.0,2,1,1.0,1.0,1.0,66.0,84,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.9081256390000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4933447,25417834,100.0,1.0,2,1,1.0,1.0,1.0,99.0,45,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9625132679999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
7735464,6170760,94.88679817905918,0.0,2,1,2.0,1.0,1.0,200.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.828774095,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6291829,32713558,94.88679817905918,0.0,10,1,3.5,5.0,5.0,700.0,5,85.0,10.0,9.0,9.0,9.0,8.0,8.0,0.887775898,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9218403,14100483,100.0,0.0,1,1,1.0,1.0,1.0,110.0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
4125779,21401856,100.0,0.0,3,1,1.5,1.0,2.0,99.0,11,84.0,9.0,9.0,9.0,9.0,10.0,8.0,0.995284081,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
8942678,46675077,100.0,0.0,8,1,2.0,4.0,4.0,450.0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9684753420000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
10106055,51860756,94.88679817905918,0.0,2,1,1.0,1.0,1.0,75.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9686224459999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6362362,33147763,94.88679817905918,0.0,5,1,2.5,3.0,3.0,600.0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9450932740000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3544550,16708587,67.0,0.0,8,6,2.5,3.0,5.0,450.0,8,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0.952309847,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9025039,68155,100.0,0.0,5,1,1.0,2.0,3.0,150.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.976926684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8859380,3792761,100.0,0.0,6,1,2.0,3.0,3.0,300.0,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.977104545,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
4520099,6184895,71.0,0.0,3,3,1.0,1.0,2.0,80.0,4,85.0,8.0,9.0,7.0,10.0,9.0,9.0,0.9420554640000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2481869,5177328,98.0,1.0,4,1,1.0,1.0,1.0,175.0,38,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9985691309999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1110749,5325329,97.0,0.0,6,6,1.5,3.0,3.0,325.0,68,92.0,9.0,9.0,10.0,9.0,10.0,9.0,0.9627155070000001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5978498,31037494,60.0,0.0,4,1,3.0,3.0,2.0,175.0,8,88.0,9.0,9.0,9.0,9.0,10.0,9.0,0.9337983129999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5021081,25906186,71.0,0.0,7,7,3.5,4.0,3.0,222.0,5,75.0,8.0,9.0,8.0,9.0,9.0,8.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1686930,8916363,100.0,0.0,4,1,1.0,2.0,2.0,159.0,62,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.9610149259999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
7680289,40335071,100.0,0.0,4,2,1.0,1.0,2.0,125.0,19,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.990042746,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
